id,name,city,state,country,types
34720,Abilene Brewing Co.,Abilene,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
24916,Moon Tower Inn,Houston,TX,US,"Brewery, Bar, Eatery"
31377,Gordon Street Tavern,Alvin,TX,US,"Brewery, Bar, Eatery"
51405,Dirty Job Brewing,Mansfield,TX,US,"Brewery, Bar"
46899,Ruba Brewing,Houston,TX,US,Brewery
53576,New Main Brewing Company,Pantego,TX,US,"Brewery, Bar, Beer-to-go"
45861,Under The Radar Brewery,Houston,TX,US,"Brewery, Bar"
28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
23672,Ranger Creek Brewing & Distilling,San Antonio,TX,US,"Brewery, Bar"
50326,Great Heights Brewing Company,Houston,TX,US,"Brewery, Bar"
39446,Braindead Brewing,Dallas,TX,US,"Brewery, Bar, Eatery"
31228,The Granary,San Antonio,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
51822,Denton County Brewing Company,Denton,TX,US,"Brewery, Bar, Beer-to-go"
23564,B & J's Pizza,Corpus Christi,TX,US,"Brewery, Bar, Eatery"
48104,The Brewery,Port Aransas,TX,US,"Brewery, Bar, Eatery"
34410,Kahl Brewing Co.,Abilene,TX,US,Brewery
43320,Blackwater Draw Brewing Company,Bryan,TX,US,"Brewery, Bar, Beer-to-go"
35314,Boerne Brewery,Boerne,TX,US,Brewery
50877,Künstler Brewing,San Antonio,TX,US,"Brewery, Bar"
48529,Fredonia Brewery,Nacogdoches,TX,US,"Brewery, Bar, Beer-to-go"
25667,Austin Beerworks,Austin,TX,US,"Brewery, Bar"
46686,Oskar Blues Brewery,Austin,TX,US,"Brewery, Bar"
48264,Lazarus Brewing Company,Austin,TX,US,"Brewery, Bar, Eatery"
34963,New Braunfels Brewing Company,New Braunfels,TX,US,"Brewery, Bar"
23090,Thirsty Planet Brewing Company,Austin,TX,US,Brewery
30882,Branchline Brewing Co.,San Antonio,TX,US,Brewery
43098,DeadBeach Brewery,El Paso,TX,US,"Brewery, Bar, Beer-to-go"
337,Saint Arnold Brewing Company,Houston,TX,US,"Brewery, Bar, Eatery"
48342,Idle Vine Brewing Co,Pflugerville,TX,US,"Brewery, Bar"
33661,The League of Extraordinary Brewers,Houston,TX,US,"Brewery, Bar, Eatery"
40007,Bitter Sisters Brewing Company,Addison,TX,US,"Brewery, Bar"
27403,Deep Ellum Brewing Company,Dallas,TX,US,"Brewery, Bar"
41464,Noble Rey Brewing Company,Dallas,TX,US,"Brewery, Bar, Beer-to-go"
52538,Vista Brewing,Driftwood,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
29568,Pedernales Brewing Company,Fredericksburg,TX,US,"Brewery, Bar"
37947,Texas Ale Project,Dallas,TX,US,"Brewery, Bar"
51047,Pegasus City Brewery,Dallas,TX,US,"Brewery, Bar"
44377,SoCo Taphouse & Brew Company,San Angelo,TX,US,"Brewery, Bar"
29509,Wicked Beaver Brewing Company,Wolfforth,TX,US,Brewery
