id,name,brewery_id,style,availability,abv
81986,Bourbon Barrel Aged Hellfighter,26762,American Porter,Rotating,10.8
260086,Reverie,31272,American Wild Ale,Rotating,5.2
90650,Hooligan,24825,Irish Red Ale,Spring,4.5
270734,Hye-Biscus,25622,American Blonde Ale,Year-round,5.5
251607,Buzz Nutz,28255,American Porter,Fall,7.3
345892,Saint Arnold Art Car (With Valencia Orange),337,American IPA,Limited (brewed once),7.17
130619,Summer Wheat,28181,German Hefeweizen,Summer,5.0
267837,Chain Rattler,47266,American Imperial Stout,Rotating,9.0
204880,Oktoberfest,36212,German Märzen / Oktoberfest,Rotating,5.5
370870,Mojito Lime,24326,Leipzig Gose,Year-round,5.2
218120,Hairy Man English Strong Ale,39548,English Strong Ale,Rotating,7.9
348379,Peanut Butter Vs. Jelly,51758,American Porter,Rotating,8.1
67098,(512) Black IPA,17863,American Black Ale,Spring,7.5
311850,Phantom Works Mandarina IPA,50530,American IPA,Rotating,5.5
23720,Devil's Backbone,458,Belgian Tripel,Year-round,8.1
349570,Fiona YSB#5,32581,American Wild Ale,Rotating,3.8
110702,Rapture,33844,American Brown Ale,Year-round,6.0
83842,Wealth & Taste,27403,Belgian Strong Pale Ale,Spring,9.5
131688,Rocket 100,32581,American Adjunct Lager,Rotating,5.5
247502,Mama Tried,33820,American IPA,Year-round,6.6
209109,Hopothecary,31066,American Pale Ale (APA),Rotating,6.0
240600,Golden Café Au Lait Stout,35323,English Sweet / Milk Stout,Rotating,4.2
36490,Bombay IPA,4858,American IPA,Rotating,6.5
185426,Early Morning Shakes,35016,American Pale Ale (APA),Rotating,4.9
371915,'Ello Guv'na,54035,English India Pale Ale (IPA),Rotating,6.2
131835,Jimmy's Dort,29745,European Export / Dortmunder,Rotating,5.1
105020,ManMosa,32171,Fruit and Field Beer,Summer,5.8
313191,Pacific Hazebro,45647,New England IPA,Rotating,8.2
339058,Go West Young Men Your Future Is Untold,45648,American IPA,Limited (brewed once),6.9
207227,Violet Beauregarde,32581,American Wild Ale,Rotating,3.8
296858,Hype PA,45647,American IPA,Rotating,7.4
174054,Space Cola,18823,American IPA,Rotating,5.3
290472,Heisen Weizen,49058,German Hefeweizen,Year-round,5.5
209826,Lunch Date,43739,American Blonde Ale,Year-round,3.0
312031,Where’s my flannel?,50994,English Bitter,Rotating,5.5
319047,Murkaveli,47781,American Imperial IPA,Rotating,8.8
209788,Lux American Lager,43735,American Lager,Rotating,4.2
123595,Summer's Wit,28255,Belgian Witbier,Summer,6.0
123417,Slow Ride,35016,American Pale Ale (APA),Year-round,4.8
363036,Blueberry Zweiundzwanzig,458,Berliner Weisse,Limited (brewed once),3.5
280442,Irish Cream,48790,Irish Red Ale,Rotating,5.0
209797,Raspberry Nebulous Tart,43735,Berliner Weisse,Rotating,4.3
332446,French Toast Batter,51758,American Amber / Red Ale,Rotating,5.5
353982,Nagelbett,44383,American Imperial IPA,Rotating,9.2
340544,Wheez the Juice: El Dorado,35547,American IPA,Limited (brewed once),5.5
188079,Three Lions,458,American Imperial IPA,Year-round,8.0
315673,Yule Cat,43107,Herb and Spice Beer,Winter,7.2
371621,Friends with Benefits,50994,American IPA,Rotating,6.9
207070,Hop Vice,18823,Belgian Witbier,Rotating,5.3
248773,Coog Brew,31377,American Amber / Red Ale,Fall,6.1
262361,Who's Got The Juice Now,47781,American IPA,Rotating,7.5
349332,Double Justice,52689,American Imperial IPA,Year-round,9.99
189691,Black Venom,37552,American Imperial Stout,Rotating,10.0
364370,Fruit Tart: Blackberry,35547,Belgian Saison,Rotating,5.7
372767,Plum Creek,52527,English Porter,Rotating,6.5
363901,Pina Colada Double FroYo,51758,American Imperial IPA,Rotating,8.1
143020,Bonked! Pumpkin Ale,30162,Pumpkin Beer,Fall,9.5
300678,West Coast IPA,49549,American IPA,Year-round,5.7
223607,I Like Harvey,39446,American IPA,Rotating,7.0
181876,Juice - Grapefruit Session IPA,31272,American IPA,Rotating,5.0
75301,10 Day Scottish Ale,25805,Scottish Ale,Year-round,5.4
310755,Denali IPA,50326,American IPA,Rotating,7.4
369946,The Farm,31272,Belgian Saison,Fall,9.8
192469,Tart Cherry Brown,42321,Fruit and Field Beer,Fall,6.3
340903,Turn 2,37532,American IPA,Rotating,7.5
265035,Lakewood Sour Project No. 2,29656,American Wild Ale,Rotating,6.5
356688,Hawaiian Roadrunner,37947,American Blonde Ale,Summer,5.0
308792,Suspicious Delicious: Classipied,37507,Belgian Saison,Limited (brewed once),6.9
328997,Czech The Name,35687,Bohemian Pilsener,Rotating,4.3
335182,Welcome to Helles,39446,German Helles,Year-round,12.1
264987,Winter Sasquatch,31850,American Imperial Stout,Winter,10.3
338461,Party Guy,36212,American IPA,Rotating,4.5
244106,Silver Star Bock,17033,German Bock,Rotating,5.06
356772,Wheez The Fruit: Raspberry & Grapefruit,35547,American IPA,Rotating,5.7
301658,Babycake's Bock,37372,German Bock,Summer,6.9
215714,Oktoberfest,44380,German Märzen / Oktoberfest,Fall,5.5
302206,PS: I Love Ewe,45648,American IPA,Rotating,6.9
57249,Redhead Ale,758,American Amber / Red Ale,Year-round,5.5
255310,Blood Orange Don't Fear The RIPA,28255,American IPA,Fall,6.8
209796,Cucumber Saison,43735,Belgian Saison,Rotating,5.3
256345,Angus,47537,Irish Dry Stout,Year-round,5.1
369215,I am Bruticus!,39248,American IPA,Rotating,7.8
246451,Anbessa Sewa,46899,American Brown Ale,Year-round,5.0
280977,Pilsner,2101,German Pilsner,Rotating,4.4
261168,Cellarman's Reserve - Zuper Saazer,31272,American IPA,Rotating,7.0
268030,Stormy Night IPA,42321,American Black Ale,Rotating,6.5
312030,Evergreen Terrace,50994,American IPA,Rotating,6.8
66752,Das Wunderkind! Saison,24018,Belgian Saison,Rotating,4.5
356014,Hypocrite,42042,Belgian Saison,Spring,6.5
247403,Wicket Awesome,46198,English Extra Special / Strong Bitter (ESB),Year-round,4.7
19956,Blonde Lager,9969,German Helles,Year-round,4.8
342739,Leaking Consciousness: Funky Mimosa,35547,Belgian Saison,Rotating,5.3
19334,Nutty Brewnette,10020,American Brown Ale,Rotating,5.9
340679,Moonbroch,51901,American IPA,Rotating,6.2
216002,The Nitro Dude,43007,American Imperial Stout,Rotating,8.5
241877,Lupulin Wizard,31066,American Imperial IPA,Rotating,8.5
294376,Full Grown Hombre,40064,Russian Imperial Stout,Rotating,11.9
341385,Orbit,37532,American Imperial IPA,Limited (brewed once),8.2
249695,Wonder Boy,39548,German Hefeweizen,Summer,5.4
242697,Tarantula Hawk,46663,American Amber / Red Ale,Year-round,6.5
333440,SXSWit,17863,Belgian Witbier,Limited (brewed once),5.2
353980,"Intermezzo (Boysenberry, Blackberry and Raspberry)",44383,Berliner Weisse,Limited (brewed once),4.0
372797,Dizzy Blonde Ale,49344,American Blonde Ale,Rotating,5.3
148744,Petite Golden Sour,37507,American Wild Ale,Rotating,3.5
353522,Hoptoberfest,34333,German Märzen / Oktoberfest,Fall,5.8
252550,French Kiss Saison,5688,Belgian Saison,Fall,5.5
174705,Lakewood Saint Dymphna,29656,Belgian Tripel,Rotating,8.6
53781,ESB,458,English Extra Special / Strong Bitter (ESB),Year-round,5.5
126395,Willy's ESB,35314,English Extra Special / Strong Bitter (ESB),Year-round,5.2
354052,Freezer Pop Florida Weisse,45647,Berliner Weisse,Rotating,4.7
167689,Shiva's Wrath,34963,German Eisbock,Rotating,9.0
151285,Roktoberfest,35322,German Märzen / Oktoberfest,Fall,5.4
340427,Blackberry Crystal Wheat,36489,German Kristalweizen,Rotating,6.2
276358,Day Glow Hefe,16088,German Hefeweizen,Rotating,4.5
41752,Real Heavy,458,Scotch Ale / Wee Heavy,Rotating,9.7
82003,Balanced Rock Maibock,2599,German Maibock,Spring,6.5
133245,Red Zeppelin,2642,Irish Red Ale,Rotating,4.7
351902,Buried Treasure,42321,American Stout,Rotating,8.0
257338,Texas REEB Rye'd,46686,Rye Beer,Rotating,7.0
363064,Great Not Greater,50326,American IPA,Rotating,7.0
372777,Trails of Autumn,50039,Pumpkin Beer,Fall,6.5
243251,Billy Jenkins Session Bock,46663,German Bock,Year-round,5.2
331145,Daisy Chain IPA,39953,American IPA,Limited (brewed once),6.6
75300,Satellite,25805,Belgian IPA,Year-round,6.2
369490,Texas Bourbon Barrel Series Limited Edition Wee Heavy,23672,Scotch Ale / Wee Heavy,Limited (brewed once),11.9
227729,Nutty Brewnette,42848,American Brown Ale,Year-round,5.9
52540,Red Bitter,19798,American Amber / Red Ale,Rotating,7.9
332443,Carpe Canis,40964,English India Pale Ale (IPA),Limited (brewed once),6.4
254072,Jib Cutter,43007,Vienna Lager,Rotating,4.6
85178,More Cowbell,28255,American Imperial IPA,Rotating,9.1
340550,"Dream Shake Stout - Coffee, Vanilla Bean And Maple Syrup",28784,American Stout,Limited (brewed once),8.0
359355,Propeller Head,52417,American IPA,Year-round,6.7
348038,Squeeze & Twist,24326,American IPA,Year-round,4.4
126711,Sasquatch,31850,English Sweet / Milk Stout,Spring,10.7
261340,Dapper Apple,25668,Fruit and Field Beer,Rotating,5.5
108110,Tadarida Oscura,18823,American Black Ale,Rotating,6.5
167975,Doppel Rauch Bock,25622,German Doppelbock,Rotating,9.1
275352,Oktoberfest,25622,German Märzen / Oktoberfest,Fall,6.4
163156,Jalapeño Saison,39455,Belgian Saison,Rotating,6.1
337393,Wolf Shirt,37083,American Pale Ale (APA),Rotating,5.8
276325,Tripel,39399,Belgian Tripel,Rotating,8.0
372746,Stairway To Helles,45647,German Helles,Rotating,5.5
373536,Schlagen,47537,German Märzen / Oktoberfest,Fall,6.5
254588,Let's Fighting Love,44383,American IPA,Rotating,6.7
77482,Pale Dog,27696,American Pale Ale (APA),Year-round,6.0
334741,Dee's Bees Honey Blonde Ale,46212,American Blonde Ale,Limited (brewed once),4.7
271027,Pinetop,47537,American Imperial IPA,Rotating,8.5
194244,Nightmare On 1st Street Imperial Pumpkin Ale,24326,Pumpkin Beer,Rotating,9.3
307683,Hopdong,33300,American IPA,Rotating,6.0
171081,Vulgar Display Of Power,29426,Russian Imperial Stout,Rotating,13.0
60659,Golden Mean,22112,Belgian Strong Pale Ale,Rotating,8.0
263905,RosaLee,46233,Belgian Witbier,Rotating,6.3
364474,Jester King / The Masonary - Meowzah!,24018,Belgian Saison,Limited (brewed once),4.6
